,Restaurant name,Ranking,Number of reviews,Average vote,Price range,Price level,address,Postal code,Restaurant type 1,Restaurant type 2,Boroughs,Population,Income
0,Meat Market,1,1839,5.0,$$$$,7.0,"Calle Burriana 38 Bajo, 46005, Valencia Spain",46005,Steakhouse,Barbecue,l'Eixample,76697,20299.0
1,Restaurante Nou Chocomeli,2,1009,5.0,$$$$,7.0,"Calle del Mar 52 Parking Glorieta Paz 50 meters from the Glorieta Paz parking, 46003, Valencia Spain",46003,Mediterranean,Spanish,Ciutat Vella,26542,19009.0
2,Grillo Grill Bar,3,616,5.0,$$ - $$$,4.0,"Carrer de Salamanca 7, 46005, Valencia Spain",46005,Mediterranean,Barbecue,l'Eixample,76697,20299.0
3,Restaurante Gordon 10,4,2614,4.5,$$ - $$$,4.0,"Calle del Conde de Altea 49, 46005, Valencia Spain",46005,Steakhouse,Barbecue,l'Eixample,76697,20299.0
4,Santa Rita,5,240,5.0,,,"Calle Assaonadors 10, 46001, Valencia Spain",46001,Italian,,Ciutat Vella,26542,19009.0
5,Sibuya Urban Sushi Bar Valencia,6,187,5.0,,,"Autovía del Este, Km. 345, 46960, Valencia Spain",46960,,,,,
6,Arroceria Maribel,7,1479,5.0,$$ - $$$,4.0,"Calle Francisco Monleon 5, 46012 El Palmar, Valencia Spain",46012,Mediterranean,European,,,
7,Karak,8,1231,4.5,$$ - $$$,4.0,"St Musico Vicente Peydro 9 accessed through the Hotel One Shot Mercat, 46001, Valencia Spain",46001,Fusion,Mediterranean,Ciutat Vella,26542,19009.0
8,El Porteno Asador Argentino,9,2522,5.0,$$ - $$$,4.0,"Carrer d'en Llop, 4, 46002, Valencia Spain",46002,Steakhouse,Barbecue,Ciutat Vella,26542,19009.0
9,Latte&Farina,10,1868,5.0,$$ - $$$,4.0,"Placa Redonda 1, 46001, Valencia Spain",46001,Italian,Pizza,Ciutat Vella,26542,19009.0
10,Salad Planet,11,311,5.0,$,1.0,"Calle Doctor Romagosa 3, 46002, Valencia Spain",46002,Mediterranean,Healthy,Ciutat Vella,26542,19009.0
11,El Garaje Foodie,12,925,5.0,$$ - $$$,4.0,"Calle del Doctor Ferran 10, 46021, Valencia Spain",46021,American,Pizza,Algirós,68400,15105.0
12,Giardino del Carmen,13,671,5.0,$$ - $$$,4.0,"Plaza de Don Juan de Villarrasa 6 Downstairs, 46001, Valencia Spain",46001,Italian,Mediterranean,Ciutat Vella,26542,19009.0
13,a huevo Restaurante,14,1074,5.0,$$ - $$$,4.0,"Calle de Salamanca 28, 46005, Valencia Spain",46005,Mediterranean,European,l'Eixample,76697,20299.0
14,La Taberna Casera,15,1861,5.0,$$ - $$$,4.0,"Calle de Antonio Juan 10, 46011, Valencia Spain",46011,Mediterranean,Spanish,Poblats Marítims,82178,11698.0
15,Foc i Fum,16,147,5.0,$$ - $$$,4.0,"Calle del Pintor Zarinena 1 Bajo derecha, 46003, Valencia Spain",46003,Steakhouse,Mediterranean,Ciutat Vella,26542,19009.0
16,Aloha Poke VALENCIA,17,537,5.0,$,1.0,"Calle de Martinez Cubells 6, 46002, Valencia Spain",46002,Hawaiian,Fast Food,Ciutat Vella,26542,19009.0
17,Cafe De La Bourse,18,748,5.0,$$ - $$$,4.0,"Calle Libreros n° 3, 46002, Valencia Spain",46002,French,Mediterranean,Ciutat Vella,26542,19009.0
18,Marinetta Mia,19,674,4.5,$$ - $$$,4.0,"Carrer del Mar, 3, 46003, Valencia Spain",46003,Italian,Pizza,Ciutat Vella,26542,19009.0
19,Eggcellent Brunch Cafe,20,160,5.0,$$ - $$$,4.0,"Avinguda Oest 33, 46001, Valencia Spain",46001,Cafe,European,Ciutat Vella,26542,19009.0
20,The Orange Club,21,641,5.0,$$ - $$$,4.0,"C/Micer Masco nº21, 46010, Valencia Spain",46010,American,Mediterranean,El Pla del Real,26491,20207.0
21,Fum de LLum,22,1979,4.5,$$ - $$$,4.0,"Calle Conde de Altea 29, 46005, Valencia Spain",46005,Contemporary,Mediterranean,l'Eixample,76697,20299.0
22,San Tommaso,23,13045,4.5,$$ - $$$,4.0,"Calle Corregeria 39, 46001, Valencia Spain",46001,Italian,Pizza,Ciutat Vella,26542,19009.0
23,Asador San Telmo,24,2077,4.5,$$ - $$$,4.0,"Calle Puerto Rico 14 Ruzafa Neighborhood, 46006, Valencia Spain",46006,Mediterranean,Argentinean,l'Eixample,76697,20299.0
24,Manaw - Nikkei Bar,25,845,5.0,$$ - $$$,4.0,"Calle Adresadors 10, 46001, Valencia Spain",46001,Japanese,Peruvian,Ciutat Vella,26542,19009.0
25,Bajamarea,26,792,4.5,$$ - $$$,4.0,"Calle Baja 12 Barrio del Carmen, 46003, Valencia Spain",46003,Italian,Pizza,Ciutat Vella,26542,19009.0
26,Mahora Bistro,27,174,5.0,$$ - $$$,4.0,"Carrer del Convent de Sant Francesc, 5, 46002, Valencia Spain",46002,Mediterranean,Spanish,Ciutat Vella,26542,19009.0
27,Kuzina,28,1434,4.5,$$ - $$$,4.0,"Calle Conde de Almodovar 4, 46003, Valencia Spain",46003,Mediterranean,European,Ciutat Vella,26542,19009.0
28,Marisqueria L'Odisea,29,898,4.5,$$ - $$$,4.0,"Calle Editor Manuel Aguilar 3, 46001, Valencia Spain",46001,Seafood,Healthy,Ciutat Vella,26542,19009.0
29,Kaikaya,30,2287,4.5,$$ - $$$,4.0,"Plaza del Ayuntamiento 10, 46002, Valencia Spain",46002,Japanese,Brazilian,Ciutat Vella,26542,19009.0
30,Arroceria El Rek,31,324,5.0,$$ - $$$,4.0,"Calle Pintor Marti Girbes 1 El Palmar, 46012 El Palmar, Valencia Spain",46012,Mediterranean,Spanish,,,
31,Bar Cremaet,32,716,4.5,$$ - $$$,4.0,"Avenida del Puerto, 20, 46021, Valencia Spain",46021,Spanish,Mediterranean,Algirós,68400,15105.0
32,Almalibre Acai House Valencia,33,785,4.5,$$ - $$$,4.0,"Calle Roteros 16, 46003, Valencia Spain",46003,Healthy,,Ciutat Vella,26542,19009.0
33,Palao Bistrot Valencia,34,183,5.0,$$ - $$$,4.0,"Calle Sueca 40 Bajo izquierda, 46006, Valencia Spain",46006,Italian,Mediterranean,l'Eixample,76697,20299.0
34,Poke Shop,35,203,5.0,$,1.0,"Calle de Pérez Pujol 10 Downtown, 46002, Valencia Spain",46002,Healthy,Hawaiian,Ciutat Vella,26542,19009.0
35,Terranova,36,173,5.0,$$ - $$$,4.0,"Placa Canovas del Castillo 8, 46005, Valencia Spain",46005,Italian,Pizza,l'Eixample,76697,20299.0
36,Restaurante Helen Berger,37,336,5.0,$$ - $$$,4.0,"Calle de las Comedias 22, 46003, Valencia Spain",46003,Mediterranean,Spanish,Ciutat Vella,26542,19009.0
37,Fierro,38,155,5.0,$$$$,7.0,"Calle Doctor Serrano 4, 46006, Valencia Spain",46006,Mediterranean,,l'Eixample,76697,20299.0
38,Burritos - Ramon Llull (Valencia),39,178,5.0,$,1.0,"Calle de Ramon Llull 7, 46021, Valencia Spain",46021,Mexican,Fast Food,Algirós,68400,15105.0
39,Rincon 33,40,2184,4.5,$$ - $$$,4.0,"Carrer de la Corretgeria 33 Rincon, 46001, Valencia Spain",46001,Seafood,Mediterranean,Ciutat Vella,26542,19009.0
40,Wave Gastro Bar,41,112,5.0,$$ - $$$,4.0,"Davallada de Sant Miquel, 11, 46003, Valencia Spain",46003,Cafe,Mediterranean,Ciutat Vella,26542,19009.0
41,Huerta y Huerta,42,328,5.0,$$ - $$$,4.0,"Calle de Cádiz 61 Russafa, 46006, Valencia Spain",46006,Mediterranean,Spanish,l'Eixample,76697,20299.0
42,ALENAR Bodega Mediterranea,43,454,4.5,$$ - $$$,4.0,"Calle de Martinez Cubells 6 Bajo, 46002, Valencia Spain",46002,Mediterranean,Spanish,Ciutat Vella,26542,19009.0
43,Saltimbocca,44,705,5.0,$$ - $$$,4.0,"Placa Vannes 7, 46007, Valencia Spain",46007,Italian,Pizza,Extramurs,73050,16794.0
44,AmaMi,45,259,4.5,$$ - $$$,4.0,"Calle Alta 8 Barrio del Carmen, 46003, Valencia Spain",46003,Italian,Mediterranean,Ciutat Vella,26542,19009.0
45,Bar Mistela,46,1325,4.5,$$ - $$$,4.0,"Carrer Riu Nervión, 11, 46025, Valencia Spain",46025,Bar,Mediterranean,Benicalap,33298,11520.0
46,Guako Restaurante,47,202,4.5,$,1.0,"Calle de Vicente Sancho Tello 22, 46021, Valencia Spain",46021,International,Venezuelan,Algirós,68400,15105.0
47,Asador Coco Pazzo,48,468,4.5,$$ - $$$,4.0,"Calle del Conde de Altea 51, 46005, Valencia Spain",46005,Steakhouse,Barbecue,l'Eixample,76697,20299.0
48,Clann Bar,49,192,5.0,$$ - $$$,4.0,"Assaonadors 9, 46001, Valencia Spain",46001,Mediterranean,Spanish,Ciutat Vella,26542,19009.0
